1000 200 0 13 11 10 12 7 7 0 8 0 9 15 0 6 0 0 12 14 0 11 0 12 4 13 0 0 0 11 13 0 0 0 0 0 0 0 0 0 0 0 0 11 10 0 0 6 0 0 0 0 17 11 27 10 0 8 5 15 0 11 0 6 7 0 0 9 0 14 0 0 9 6 9 7 0 0 10 5 12 5 6 18 0 15 7 13 10 0 0 0 4 0 12 0 14 12 16 8 7 15 6 19 0 0 0 0 14 0 11 0 0 0 5 13 0 1 11 24 13 0 0 0 0 18 0 7 0 10 19 9 0 0 5 5 12 0 0 17 0 0 0 12 0 0 0 0 7 7 9 0 15 12 15 21 0 0 10 16 1 7 0 9 0 0 8 0 0 13 0 0 0 18 6 0 0 9 7 14 0 13 11 14 0 11 13 21 5 0 0 15 11 0 0 0 0 0 14 0 0 0 
1100 200 0 13 10 10 10 5 6 0 8 0 8 17 0 5 0 0 12 14 0 11 0 12 3 13 0 0 0 11 15 0 0 0 0 0 0 0 0 0 0 0 0 11 11 0 0 5 0 0 0 0 17 11 28 8 0 8 2 14 0 13 0 4 7 0 0 9 0 13 0 0 7 5 9 4 0 0 10 5 12 4 3 18 0 15 5 14 9 0 0 0 0 0 12 0 12 12 15 8 6 16 6 19 0 0 0 0 13 0 10 0 0 0 2 12 0 0 11 26 13 0 0 0 0 19 0 5 0 9 20 8 0 0 3 4 11 0 0 17 0 0 0 12 0 0 0 0 7 6 10 0 15 13 16 19 0 0 10 16 0 6 0 10 0 0 7 0 0 14 0 0 0 20 5 0 0 9 7 14 0 9 11 18 0 12 14 21 2 0 0 14 11 0 0 0 0 0 15 0 0 0 
1200 200 0 12 10 13 10 3 5 0 7 0 8 17 0 4 0 0 11 11 0 10 0 12 0 13 0 0 0 11 15 0 0 0 0 0 0 0 0 0 0 0 0 10 10 0 0 3 0 0 0 0 17 9 23 7 0 9 0 13 0 13 0 2 4 0 0 9 0 13 0 0 6 2 9 0 0 0 10 0 11 0 0 17 0 15 1 14 8 0 0 0 0 0 11 0 11 12 14 7 2 15 3 19 0 0 0 0 11 0 10 0 0 0 0 12 0 0 10 27 11 0 0 0 0 20 0 4 0 11 20 8 0 0 0 0 10 0 0 13 0 0 0 11 0 0 0 0 6 5 9 0 14 13 16 17 0 0 9 16 0 5 0 8 0 0 5 0 0 13 0 0 0 18 4 0 0 9 6 14 0 9 11 17 0 12 15 20 0 0 0 14 10 0 0 0 0 0 14 0 0 0 
1300 200 0 12 8 14 10 0 1 0 7 0 8 16 0 0 0 0 12 10 0 9 0 12 0 13 0 0 0 10 15 0 0 0 0 0 0 0 0 0 0 0 0 10 10 0 0 0 0 0 0 0 18 8 23 6 0 8 0 15 0 12 0 0 2 0 0 9 0 13 0 0 5 0 9 0 0 0 11 0 10 0 0 17 0 13 0 11 7 0 0 0 0 0 11 0 8 12 13 6 0 13 0 19 0 0 0 0 11 0 10 0 0 0 0 12 0 0 10 25 11 0 0 0 0 18 0 0 0 11 20 8 0 0 0 0 10 0 0 14 0 0 0 11 0 0 0 0 1 3 7 0 14 12 14 16 0 0 9 16 0 3 0 9 0 0 4 0 0 14 0 0 0 16 0 0 0 9 4 16 0 9 11 17 0 12 15 20 0 0 0 16 9 0 0 0 0 0 15 0 0 0 
1400 200 0 13 8 15 9 0 0 0 7 0 7 16 0 0 0 0 12 10 0 9 0 13 0 11 0 0 0 9 14 0 0 0 0 0 0 0 0 0 0 0 0 10 11 0 0 0 0 0 0 0 20 8 25 4 0 8 0 17 0 13 0 0 0 0 0 8 0 11 0 0 2 0 9 0 0 0 11 0 10 0 0 15 0 13 0 10 5 0 0 0 0 0 11 0 8 12 14 5 0 13 0 17 0 0 0 0 10 0 9 0 0 0 0 12 0 0 12 25 10 0 0 0 0 18 0 0 0 10 20 7 0 0 0 0 11 0 0 14 0 0 0 11 0 0 0 0 0 0 7 0 15 12 13 16 0 0 8 17 0 0 0 9 0 0 0 0 0 13 0 0 0 18 0 0 0 9 0 13 0 8 10 16 0 12 14 20 0 0 0 15 9 0 0 0 0 0 14 0 0 0 
1500 200 0 14 8 16 9 0 0 0 1 0 6 16 0 0 0 0 12 10 0 9 0 12 0 9 0 0 0 10 14 0 0 0 0 0 0 0 0 0 0 0 0 10 10 0 0 0 0 0 0 0 20 7 25 1 0 5 0 17 0 11 0 0 0 0 0 7 0 12 0 0 0 0 9 0 0 0 10 0 9 0 0 16 0 13 0 11 4 0 0 0 0 0 10 0 7 12 13 0 0 13 0 17 0 0 0 0 10 0 9 0 0 0 0 12 0 0 11 26 9 0 0 0 0 17 0 0 0 9 19 3 0 0 0 0 10 0 0 12 0 0 0 11 0 0 0 0 0 0 6 0 15 10 13 15 0 0 8 16 0 0 0 6 0 0 0 0 0 12 0 0 0 17 0 0 0 6 0 13 0 8 9 17 0 12 12 22 0 0 0 13 8 0 0 0 0 0 13 0 0 0 
1600 200 0 14 8 16 8 0 0 0 0 0 4 16 0 0 0 0 12 10 0 8 0 11 0 9 0 0 0 8 13 0 0 0 0 0 0 0 0 0 0 0 0 10 10 0 0 0 0 0 0 0 20 7 25 0 0 3 0 17 0 11 0 0 0 0 0 6 0 12 0 0 0 0 9 0 0 0 8 0 8 0 0 16 0 11 0 10 0 0 0 0 0 0 8 0 7 11 12 0 0 12 0 17 0 0 0 0 10 0 7 0 0 0 0 10 0 0 10 25 11 0 0 0 0 17 0 0 0 7 19 0 0 0 0 0 8 0 0 11 0 0 0 9 0 0 0 0 0 0 4 0 16 10 13 16 0 0 6 16 0 0 0 4 0 0 0 0 0 12 0 0 0 16 0 0 0 4 0 13 0 5 8 17 0 10 12 21 0 0 0 13 8 0 0 0 0 0 13 0 0 0 
1700 200 0 14 8 14 7 0 0 0 0 0 0 16 0 0 0 0 12 10 0 7 0 11 0 8 0 0 0 7 14 0 0 0 0 0 0 0 0 0 0 0 0 10 9 0 0 0 0 0 0 0 19 8 24 0 0 1 0 17 0 11 0 0 0 0 0 6 0 12 0 0 0 0 10 0 0 0 7 0 8 0 0 16 0 10 0 8 0 0 0 0 0 0 7 0 7 10 12 0 0 12 0 17 0 0 0 0 10 0 7 0 0 0 0 11 0 0 8 26 11 0 0 0 0 18 0 0 0 6 19 0 0 0 0 0 7 0 0 11 0 0 0 9 0 0 0 0 0 0 0 0 15 10 14 17 0 0 5 16 0 0 0 3 0 0 0 0 0 11 0 0 0 16 0 0 0 4 0 14 0 4 7 16 0 10 12 22 0 0 0 13 7 0 0 0 0 0 12 0 0 0 
1800 200 0 14 7 13 7 0 0 0 0 0 0 16 0 0 0 0 12 11 0 7 0 12 0 8 0 0 0 7 15 0 0 0 0 0 0 0 0 0 0 0 0 10 8 0 0 0 0 0 0 0 20 8 22 0 0 0 0 18 0 11 0 0 0 0 0 4 0 11 0 0 0 0 8 0 0 0 5 0 8 0 0 16 0 10 0 8 0 0 0 0 0 0 6 0 7 10 12 0 0 12 0 17 0 0 0 0 10 0 5 0 0 0 0 11 0 0 7 24 9 0 0 0 0 19 0 0 0 5 19 0 0 0 0 0 6 0 0 11 0 0 0 9 0 0 0 0 0 0 0 0 16 9 14 17 0 0 5 16 0 0 0 3 0 0 0 0 0 10 0 0 0 17 0 0 0 0 0 14 0 2 6 16 0 9 11 21 0 0 0 12 6 0 0 0 0 0 11 0 0 0 
1900 200 0 15 4 13 7 0 0 0 0 0 0 15 0 0 0 0 12 9 0 5 0 11 0 7 0 0 0 7 16 0 0 0 0 0 0 0 0 0 0 0 0 10 8 0 0 0 0 0 0 0 20 7 24 0 0 0 0 16 0 11 0 0 0 0 0 0 0 9 0 0 0 0 8 0 0 0 3 0 8 0 0 16 0 9 0 8 0 0 0 0 0 0 6 0 6 9 12 0 0 12 0 17 0 0 0 0 9 0 4 0 0 0 0 10 0 0 7 24 9 0 0 0 0 20 0 0 0 3 19 0 0 0 0 0 6 0 0 11 0 0 0 9 0 0 0 0 0 0 0 0 17 8 14 17 0 0 0 15 0 0 0 0 0 0 0 0 0 8 0 0 0 17 0 0 0 0 0 15 0 0 6 17 0 8 11 21 0 0 0 12 3 0 0 0 0 0 12 0 0 0 
